customer_postalcode_city_id,customer_id,postalcode_city_id
1,CG-12520,1
2,CG-12520,2
3,DV-13045,3
4,SO-20335,4
5,BH-11710,5
6,AA-10480,6
7,AA-10480,7
8,AA-10480,8
9,IM-15070,9
10,HP-14815,10
11,PK-19075,11
12,AG-10270,12
13,ZD-21925,13
14,KB-16585,14
15,SF-20065,15
16,EB-13870,16
17,EH-13945,17
18,TB-21520,15
19,MA-17560,18
20,GH-14485,19
21,SN-20710,20
22,LC-16930,21
23,RA-19885,17
24,ES-14080,22
25,ON-18715,23
26,PO-18865,24
27,LH-16900,25
28,LH-16900,26
29,DP-13000,27
30,JM-15265,28
31,TB-21055,29
32,TB-21055,30
33,KM-16720,31
34,PS-18970,32
35,BS-11590,33
36,KD-16270,34
37,KD-16270,35
38,KD-16270,36
39,KD-16270,37
40,HM-14980,38
41,TB-21520,39
42,TB-21520,40
43,TB-21520,41
44,JE-15745,42
45,KB-16600,20
46,JE-15745,43
47,SC-20770,44
48,SC-20770,45
49,DN-13690,46
50,JC-16105,47
51,CS-12400,48
52,PO-18865,49
53,PO-18865,50
54,PO-18865,51
55,PO-18865,52
56,PG-18895,53
57,PG-18895,54
58,GM-14455,18
59,JS-15685,3
60,KB-16315,55
61,RB-19705,56
62,PN-18775,38
63,KD-16345,46
64,ER-13855,57
65,RB-19465,32
66,GZ-14470,53
67,GZ-14470,54
68,LC-16870,58
69,LC-16870,59
70,JM-15250,60
71,PA-19060,61
72,CV-12805,62
73,CL-12565,63
74,RC-19960,64
75,RC-19960,65
76,RC-19960,66
77,DK-13090,9
78,GG-14650,67
79,GG-14650,68
80,SC-20725,69
81,SC-20725,70
82,AD-10180,20
83,PF-19165,71
84,PF-19165,72
85,TS-21610,73
86,LS-16975,31
87,DW-13585,64
88,DW-13585,65
89,DW-13585,66
90,LC-16885,74
91,LC-16885,75
92,LC-16885,76
93,JD-15895,15
94,SH-19975,46
95,SG-20080,77
96,HA-14920,78
97,HA-14920,79
98,MG-17680,80
99,MG-17680,81
100,JE-16165,82
101,JE-16165,83
102,JE-16165,84
103,TW-21025,85
104,SP-20650,86
105,NK-18490,87
106,DB-13060,88
107,NP-18670,89
108,TT-21070,90
109,EM-13960,91
110,RD-19900,92
111,MJ-17740,88
112,BM-11140,93
113,CS-12130,31
114,JB-15400,48
115,SJ-20500,94
116,JE-15745,80
117,JE-15745,81
118,JK-15640,38
119,DK-13150,95
120,DK-13150,96
121,RM-19675,97
122,RM-19675,98
123,SK-19990,99
124,SK-19990,100
125,SK-19990,101
126,FM-14290,5
127,AM-10360,102
128,MP-17470,62
129,MZ-17515,103
130,CB-12025,104
131,VM-21685,105
132,FH-14365,106
133,MB-17305,107
134,BS-11755,108
135,LC-17140,109
136,HK-14890,110
137,HK-14890,111
138,HK-14890,112
139,LE-16810,113
140,JH-15985,114
141,MS-17980,109
142,VW-21775,115
143,JH-15910,5
144,JB-15925,116
145,JB-15925,117
146,DS-13180,118
147,VD-21670,119
148,VD-21670,120
149,VD-21670,121
150,VD-21670,122
151,EA-14035,60
152,CS-12400,123
153,DB-13120,124
154,KL-16645,32
155,DW-13480,125
156,LH-17155,13
157,KC-16540,126
158,DL-13315,28
159,DR-12880,48
160,CC-12670,38
161,Dl-13600,127
162,Dl-13600,128
163,SB-20290,94
164,RC-19825,32
165,AH-10210,129
166,CB-12535,130
167,PG-18895,131
