order_id,customer_id,product_id,ship_mode_id,order_date,ship_date,sales,quantity,discount,profit
CA-2017-152156,CG-12520,FUR-BO-10001798,1,11/8/2017,11/11/2017,261.96,2.0,0.0,41.9136
CA-2017-152156,CG-12520,FUR-CH-10000454,1,11/8/2017,11/11/2017,731.94,3.0,0.0,219.582
CA-2017-138688,DV-13045,OFF-LA-10000240,1,6/12/2017,6/16/2017,14.62,2.0,0.0,6.8714
US-2016-108966,SO-20335,FUR-TA-10000577,2,10/11/2016,10/18/2016,957.5775,5.0,0.45,-383.031
US-2016-108966,SO-20335,OFF-ST-10000760,2,10/11/2016,10/18/2016,22.368,2.0,0.2,2.5164
CA-2015-115812,BH-11710,FUR-FU-10001487,2,6/9/2015,6/14/2015,48.86,7.0,0.0,14.1694
CA-2015-115812,BH-11710,OFF-AR-10002833,2,6/9/2015,6/14/2015,7.28,4.0,0.0,1.9656
CA-2015-115812,BH-11710,TEC-PH-10002275,2,6/9/2015,6/14/2015,907.152,6.0,0.2,90.7152
CA-2015-115812,BH-11710,OFF-BI-10003910,2,6/9/2015,6/14/2015,18.504,3.0,0.2,5.7825
CA-2015-115812,BH-11710,OFF-AP-10002892,2,6/9/2015,6/14/2015,114.9,5.0,0.0,34.47
CA-2015-115812,BH-11710,FUR-TA-10001539,2,6/9/2015,6/14/2015,1706.184,9.0,0.2,85.3092
CA-2015-115812,BH-11710,TEC-PH-10002033,2,6/9/2015,6/14/2015,911.424,4.0,0.2,68.3568
CA-2018-114412,AA-10480,OFF-PA-10002365,2,4/15/2018,4/20/2018,15.552,3.0,0.2,5.4432
CA-2017-161389,IM-15070,OFF-BI-10003656,2,12/5/2017,12/10/2017,407.976,3.0,0.2,132.5922
US-2016-118983,HP-14815,OFF-AP-10002311,2,11/22/2016,11/26/2016,68.81,5.0,0.8,-123.858
US-2016-118983,HP-14815,OFF-BI-10000756,2,11/22/2016,11/26/2016,2.544,3.0,0.8,-3.816
CA-2015-105893,PK-19075,OFF-ST-10004186,2,11/11/2015,11/18/2015,665.88,6.0,0.0,13.3176
CA-2015-167164,AG-10270,OFF-ST-10000107,1,5/13/2015,5/15/2015,55.5,2.0,0.0,9.99
CA-2015-143336,ZD-21925,OFF-AR-10003056,1,8/27/2015,9/1/2015,8.56,2.0,0.0,2.4824
CA-2015-143336,ZD-21925,TEC-PH-10001949,1,8/27/2015,9/1/2015,213.48,3.0,0.2,16.011
CA-2015-143336,ZD-21925,OFF-BI-10002215,1,8/27/2015,9/1/2015,22.72,4.0,0.2,7.384
CA-2017-137330,KB-16585,OFF-AR-10000246,2,12/9/2017,12/13/2017,19.46,7.0,0.0,5.0596
CA-2017-137330,KB-16585,OFF-AP-10001492,2,12/9/2017,12/13/2017,60.34,7.0,0.0,15.6884
US-2018-156909,SF-20065,FUR-CH-10002774,1,7/16/2018,7/18/2018,71.372,2.0,0.3,-1.0196
CA-2016-106320,EB-13870,FUR-TA-10000577,2,9/25/2016,9/30/2016,1044.63,3.0,0.0,240.2649
CA-2017-121755,EH-13945,OFF-BI-10001634,1,1/16/2017,1/20/2017,11.648,2.0,0.2,4.2224
CA-2017-121755,EH-13945,TEC-AC-10003027,1,1/16/2017,1/20/2017,90.57,3.0,0.0,11.7741
US-2016-150630,TB-21520,FUR-BO-10004834,2,9/17/2016,9/21/2016,3083.43,7.0,0.5,-1665.0522
US-2016-150630,TB-21520,OFF-BI-10000474,2,9/17/2016,9/21/2016,9.618,2.0,0.7,-7.0532
US-2016-150630,TB-21520,FUR-FU-10004848,2,9/17/2016,9/21/2016,124.2,3.0,0.2,15.525
US-2016-150630,TB-21520,OFF-EN-10001509,2,9/17/2016,9/21/2016,3.264,2.0,0.2,1.1016
US-2016-150630,TB-21520,OFF-AR-10004042,2,9/17/2016,9/21/2016,86.304,6.0,0.2,9.7092
US-2016-150630,TB-21520,OFF-BI-10001525,2,9/17/2016,9/21/2016,6.858,6.0,0.7,-5.715
US-2016-150630,TB-21520,OFF-AR-10001683,2,9/17/2016,9/21/2016,15.76,2.0,0.2,3.546
CA-2018-107727,MA-17560,OFF-PA-10000249,1,10/19/2018,10/23/2018,29.472,3.0,0.2,9.9468
